user_id,book_id,rating,title,authors,original_publication_year,rating_normalized,user_id_encoded,book_id_encoded
44027,34,1,"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,2011.0,0.0,18878,33
1686,4755,2,Winter's Tale,Mark Helprin,1983.0,0.25,786,4220
27015,26,3,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,2003.0,0.5,11949,25
9762,43,5,Jane Eyre,"Charlotte Brontë, Michael Mason",1847.0,1.0,4424,42
11916,312,1,The Graveyard Book,"Neil Gaiman, Dave McKean",2008.0,0.0,5413,311
21052,1627,3,"Twelve Sharp (Stephanie Plum, #12)",Janet Evanovich,2006.0,0.5,9412,1606
23967,114,4,Tuesdays with Morrie,"Mitch Albom, Saulius Dagys",1997.0,0.75,10656,113
40105,310,1,"Good in Bed (Cannie Shapiro, #1)",Jennifer Weiner,2001.0,0.0,17261,309
40730,5289,5,"Police (Harry Hole, #10)","Jo Nesbø, Don Bartlett",2013.0,1.0,17556,4596
29634,2259,2,Foucault's Pendulum,"Umberto Eco, William Weaver",1988.0,0.25,13041,2201
51758,177,2,Crime and Punishment,"Fyodor Dostoyevsky, David McDuff",1866.0,0.25,21924,176
19735,26,1,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,2003.0,0.0,8875,25
37180,4953,3,The Hard Thing About Hard Things: Building a Business When There Are No Easy Answers,Ben Horowitz,2014.0,0.5,16062,4361
8188,116,5,The Adventures of Tom Sawyer,"Mark Twain, Guy Cardwell, John Seelye",1876.0,1.0,3717,115
33079,111,4,The Memory Keeper's Daughter,Kim Edwards,2005.0,0.75,14404,110
8103,499,1,American Psycho,Bret Easton Ellis,1991.0,0.0,3672,498
12156,89,5,The Princess Bride ,William Goldman,1973.0,1.0,5514,88
46492,54,5,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,1979.0,1.0,19850,53
13209,49,5,"New Moon (Twilight, #2)",Stephenie Meyer,2006.0,1.0,5990,48
8796,4568,4,"Lost Lake (Lost Lake, #1)",Sarah Addison Allen,2014.0,0.75,4000,4084
11015,31,4,The Help,Kathryn Stockett,2009.0,0.75,5012,30
33622,255,1,Atlas Shrugged,"Ayn Rand, Leonard Peikoff",1957.0,0.0,14610,254
24118,317,5,I Know Why the Caged Bird Sings,Maya Angelou,1969.0,1.0,10728,316
27342,15,3,The Diary of a Young Girl,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947.0,0.5,12079,14
9417,364,2,How the Grinch Stole Christmas!,Dr. Seuss,1957.0,0.25,4277,363
52177,5221,3,"River Secrets (The Books of Bayern, #3)",Shannon Hale,2006.0,0.5,22089,4553
44594,32,2,Of Mice and Men,John Steinbeck,1937.0,0.25,19113,31
16664,367,5,"Odd Thomas (Odd Thomas, #1)",Dean Koontz,2003.0,1.0,7519,366
34177,317,2,I Know Why the Caged Bird Sings,Maya Angelou,1969.0,0.25,14830,316
47872,3605,5,Northern Lights,Nora Roberts,2004.0,1.0,20404,3351
43529,322,3,Neverwhere,Neil Gaiman,1996.0,0.5,18679,321
29781,2373,2,"Blindsighted (Grant County, #1)",Karin Slaughter,2001.0,0.25,13102,2304
25399,506,1,"The One (The Selection, #3)",Kiera Cass,2014.0,0.0,11274,505
43940,1627,2,"Twelve Sharp (Stephanie Plum, #12)",Janet Evanovich,2006.0,0.25,18838,1606
24625,2165,2,"Anybody Out There? (Walsh Family, #4)",Marian Keyes,2006.0,0.25,10936,2113
15045,968,2,Cleopatra: A Life,Stacy Schiff,2006.0,0.25,6808,962
1058,1117,1,"The Lost World (Jurassic Park, #2)",Michael Crichton,1995.0,0.0,498,1107
2502,160,2,Great Expectations,Charles Dickens,1860.0,0.25,1171,159
19866,37,4,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,1950.0,0.75,8935,36
37189,251,5,The Cat in the Hat,Dr. Seuss,1957.0,1.0,16067,250
14735,63,1,Wuthering Heights,"Emily Brontë, Richard J. Dunn",1847.0,0.0,6669,62
21761,154,5,Macbeth,William Shakespeare,1606.0,1.0,9707,153
15556,9021,1,Lost,"Gregory Maguire, Douglas Smith",2001.0,0.0,7030,6681
44291,71,1,Frankenstein,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818.0,0.0,18982,70
39526,440,5,"Fall of Giants (The Century Trilogy, #1)",Ken Follett,2010.0,1.0,17029,439
2788,499,3,American Psycho,Bret Easton Ellis,1991.0,0.5,1301,498
6431,5142,3,"Her Mother's Hope (Marta's Legacy, #1)",Francine Rivers,2010.0,0.5,2943,4498
8554,1503,2,Jitterbug Perfume,Tom Robbins,1984.0,0.25,3892,1487
20094,8708,1,"Fated (Alex Verus, #1)",Benedict Jacka,2012.0,0.0,9023,6531
51665,1131,4,"Chocolat (Chocolat, #1)",Joanne Harris,1998.0,0.75,21889,1121
41290,43,4,Jane Eyre,"Charlotte Brontë, Michael Mason",1847.0,0.75,17767,42
34849,57,4,The Secret Life of Bees,Sue Monk Kidd,2001.0,0.75,15123,56
32557,71,3,Frankenstein,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818.0,0.5,14168,70
3051,478,2,Robinson Crusoe,"Daniel Defoe, Gerald McCann, Virginia Woolf",1719.0,0.25,1424,477
49679,6832,1,The Judgment of Paris: The Revolutionary Decade That Gave the World Impressionism,Ross King,2006.0,0.0,21093,5552
47254,3,2,"Twilight (Twilight, #1)",Stephenie Meyer,2005.0,0.25,20162,2
8740,65,5,Slaughterhouse-Five,Kurt Vonnegut Jr.,1969.0,1.0,3969,64
31211,5803,1,"Dance with a Vampire (Vampire Kisses, #4)",Ellen Schreiber,2007.0,0.0,13655,4932
3206,58,2,The Adventures of Huckleberry Finn,"Mark Twain, John Seelye, Guy Cardwell",1884.0,0.25,1498,57
2551,8817,5,In the Night Kitchen,Maurice Sendak,1970.0,1.0,1192,6581
18492,1710,4,At Home: A Short History of Private Life,Bill Bryson,2010.0,0.75,8322,1686
33025,416,1,The Witches,"Roald Dahl, Quentin Blake",1983.0,0.0,14379,415
10610,76,4,Sense and Sensibility,"Jane Austen, Tony Tanner, Ros Ballaster",1811.0,0.75,4826,75
7748,2375,3,"Tinker, Tailor, Soldier, Spy",John le Carré,1974.0,0.5,3500,2306
13623,546,1,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,Robert M. Pirsig,1974.0,0.0,6185,545
16712,1424,3,"Die Trying (Jack Reacher, #2)",Lee Child,1998.0,0.5,7538,1409
27800,1143,1,"Beautiful Bastard (Beautiful Bastard, #1)",Christina Lauren,2013.0,0.0,12260,1133
15869,4384,2,Funny Girl,Nick Hornby,2014.0,0.25,7172,3950
46189,5366,5,"Y: The Last Man, Vol. 10: Whys and Wherefores (Y: The Last Man, #10)","Brian K. Vaughan, Pia Guerra, José Marzán Jr.",2008.0,1.0,19726,4646
45944,28,3,Lord of the Flies,William Golding,1954.0,0.5,19636,27
1740,3871,5,Otherwise Known as Sheila the Great (Fudge #2),Judy Blume,1972.0,1.0,821,3570
32122,1285,2,"Pushing the Limits (Pushing the Limits, #1)",Katie McGarry,2012.0,0.25,14013,1273
51171,5811,3,"Chosen at Nightfall (Shadow Falls, #5)",C.C. Hunter,2014.0,0.5,21682,4939
34824,853,5,Maniac Magee,Jerry Spinelli,1990.0,1.0,15111,848
43216,11,1,The Kite Runner,Khaled Hosseini,2003.0,0.0,18538,10
37517,650,1,Uncle Tom's Cabin,Harriet Beecher Stowe,1852.0,0.0,16215,647
52510,2027,4,If on a Winter's Night a Traveler,"Italo Calvino, William Weaver",1979.0,0.75,22219,1991
42083,3956,3,"Fever (The Chemical Garden, #2)",Lauren DeStefano,2012.0,0.5,18066,3638
16354,158,4,"Charlie and the Chocolate Factory (Charlie Bucket, #1)","Roald Dahl, Quentin Blake",1964.0,0.75,7386,157
44541,9797,4,"Command Authority (Jack Ryan Universe, #16)","Tom Clancy, Mark Greaney",2013.0,0.75,19088,7041
25726,133,5,"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,1908.0,1.0,11399,132
42618,16,1,"The Girl with the Dragon Tattoo (Millennium, #1)","Stieg Larsson, Reg Keeland",2005.0,0.0,18283,15
8163,2216,2,The Couple Next Door,Shari Lapena,2016.0,0.25,3703,2162
14311,58,2,The Adventures of Huckleberry Finn,"Mark Twain, John Seelye, Guy Cardwell",1884.0,0.25,6480,57
38902,3087,3,"The Bone Season (The Bone Season, #1)",Samantha Shannon,2013.0,0.5,16769,2922
29158,294,2,"The Son of Neptune (The Heroes of Olympus, #2)",Rick Riordan,2011.0,0.25,12846,293
32190,589,3,"Easy (Contours of the Heart, #1)",Tammara Webber,2012.0,0.5,14041,586
22072,700,4,"The Constant Princess (The Plantagenet and Tudor Novels, #6)",Philippa Gregory,2005.0,0.75,9852,697
52049,704,3,The Cider House Rules,John Irving,1985.0,0.5,22039,701
16135,158,5,"Charlie and the Chocolate Factory (Charlie Bucket, #1)","Roald Dahl, Quentin Blake",1964.0,1.0,7287,157
52137,656,1,"I'd Tell You I Love You, But Then I'd Have to Kill You (Gallagher Girls, #1)",Ally Carter,2006.0,0.0,22069,653
14963,443,3,Just Listen,Sarah Dessen,2006.0,0.5,6774,442
14775,8779,2,Waiting to Exhale (Waiting To Exhale #1),Terry McMillan,1992.0,0.25,6688,6564
23696,140,2,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)","Stieg Larsson, Reg Keeland",2007.0,0.25,10539,139
51631,254,2,"Shiver (The Wolves of Mercy Falls, #1)",Maggie Stiefvater,2009.0,0.25,21876,253
24777,48,3,Fahrenheit 451,Ray Bradbury,1953.0,0.5,11000,47
5443,513,4,The Hiding Place: The Triumphant True Story of Corrie Ten Boom,"Corrie ten Boom, John Sherrill, Elizabeth Sherrill",1971.0,0.75,2500,512
6898,2697,5,"Firelight (Firelight, #1)",Sophie Jordan,2010.0,1.0,3156,2583
40517,3,1,"Twilight (Twilight, #1)",Stephenie Meyer,2005.0,0.0,17464,2
44579,392,5,"Diary of a Wimpy Kid (Diary of a Wimpy Kid, #1)",Jeff Kinney,2004.0,1.0,19104,391
9594,2923,4,"Practical Demonkeeping (Pine Cove, #1)",Christopher Moore,1992.0,0.75,4346,2781
28559,138,2,The Scarlet Letter,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850.0,0.25,12599,137
24597,1259,5,"Abhorsen (Abhorsen, #3)",Garth Nix,2003.0,1.0,10922,1247
49832,65,5,Slaughterhouse-Five,Kurt Vonnegut Jr.,1969.0,1.0,21169,64
30626,925,4,Daughter of Fortune,"Isabel Allende, Margaret Sayers Peden",1998.0,0.75,13430,920
48202,3160,5,Elsewhere,Gabrielle Zevin,2005.0,1.0,20534,2980
49372,232,1,"The Gunslinger (The Dark Tower, #1)",Stephen King,1982.0,0.0,20968,231
24102,131,1,The Grapes of Wrath,John Steinbeck,1939.0,0.0,10719,130
20410,60,1,The Curious Incident of the Dog in the Night-Time,Mark Haddon,2003.0,0.0,9157,59
615,174,1,The Shack,William Paul Young,2007.0,0.0,290,173
27583,5191,2,The Cat's Table,Michael Ondaatje,2011.0,0.25,12174,4532
18917,63,3,Wuthering Heights,"Emily Brontë, Richard J. Dunn",1847.0,0.5,8511,62
11033,6380,4,"The Thousand Orcs (Forgotten Realms: Hunter's Blades, #1; Legend of Drizzt, #14)",R.A. Salvatore,2002.0,0.75,5019,5289
7317,6674,4,After,Amy Efaw,2009.0,0.75,3319,5451
49253,2967,4,The Bookseller of Kabul,"Åsne Seierstad, Ingrid Christopherson",2002.0,0.75,20929,2817
44995,172,2,Anna Karenina,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",1877.0,0.25,19276,171
50211,174,1,The Shack,William Paul Young,2007.0,0.0,21307,173
34977,730,1,The Pearl,John Steinbeck,1947.0,0.0,15178,726
21784,171,4,Emma,"Jane Austen, Fiona Stafford",1815.0,0.75,9716,170
5458,11,5,The Kite Runner,Khaled Hosseini,2003.0,1.0,2508,10
11221,42,3,"Little Women (Little Women, #1)",Louisa May Alcott,1868.0,0.5,5110,41
22780,6411,3,"Fables, Vol. 6: Homelands","Bill Willingham, Mark Buckingham, David Hahn, Steve Leialoha",2006.0,0.5,10145,5310
7406,1398,1,"Extras (Uglies, #4)",Scott Westerfeld,2006.0,0.0,3355,1384
50645,40,2,"Eat, Pray, Love",Elizabeth Gilbert,2006.0,0.25,21455,39
36559,9183,4,13 Hours: The Inside Account of What Really Happened In Benghazi,Mitchell Zuckoff,2014.0,0.75,15807,6761
12482,51,5,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,2007.0,1.0,5659,50
15801,5231,1,Ape House,Sara Gruen,2010.0,0.0,7145,4559
53178,124,4,Room,Emma Donoghue,2010.0,0.75,22482,123
9448,158,4,"Charlie and the Chocolate Factory (Charlie Bucket, #1)","Roald Dahl, Quentin Blake",1964.0,0.75,4288,157
23265,54,5,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,1979.0,1.0,10361,53
34261,400,2,Neuromancer,William Gibson,1984.0,0.25,14872,399
46926,1463,2,"Enchanters' End Game (The Belgariad, #5)",David Eddings,1984.0,0.25,20040,1447
24864,132,1,The Five People You Meet in Heaven,Mitch Albom,2003.0,0.0,11037,131
15257,520,4,The Wind-Up Bird Chronicle,"Haruki Murakami, Jay Rubin",1994.0,0.75,6903,519
11746,1436,3,"Shopaholic and Sister (Shopaholic, #4)",Sophie Kinsella,2004.0,0.5,5351,1420
16432,3680,1,"Blow Fly (Kay Scarpetta, #12)",Patricia Cornwell,2003.0,0.0,7426,3413
26282,625,5,Midwives,Chris Bohjalian,1997.0,1.0,11642,622
14412,3121,1,"Die for Me (Revenants, #1)",Amy Plum,2011.0,0.0,6530,2949
26529,898,2,"The Queen of the Damned (The Vampire Chronicles, #3)",Anne Rice,1988.0,0.25,11741,893
32001,558,2,"Dead to the World (Sookie Stackhouse, #4)",Charlaine Harris,2004.0,0.25,13969,557
9278,1549,2,"The Carnivorous Carnival (A Series of Unfortunate Events, #9)","Lemony Snicket, Brett Helquist",2002.0,0.25,4223,1533
28586,5314,4,"Run for Your Life (Michael Bennett, #2)","James Patterson, Michael Ledwidge",2009.0,0.75,12609,4615
1730,458,4,Station Eleven,Emily St. John Mandel,2014.0,0.75,812,457
48439,7602,2,Caim,José Saramago,2009.0,0.25,20613,5967
36958,1822,1,"Revolution 2020: Love, Corruption, Ambition",Chetan Bhagat,2011.0,0.0,15965,1792
25855,734,5,Roots: The Saga of an American Family,Alex Haley,1976.0,1.0,11459,730
16783,1220,3,Fates and Furies,Lauren Groff,2015.0,0.5,7571,1209
9125,2024,1,The Fall,"Albert Camus, Justin O'Brien",1956.0,0.0,4152,1988
33383,1164,2,The Snow Child,Eowyn Ivey,2012.0,0.25,14515,1154
23697,7278,4,"Bones of the Hills (Conqueror, #3)",Conn Iggulden,2008.0,0.75,10540,5799
24366,6935,4,The Twenty-One Balloons,William Pène du Bois,1947.0,0.75,10819,5606
34619,82,4,Into the Wild,Jon Krakauer,1996.0,0.75,15018,81
39159,36,1,"The Giver (The Giver, #1)",Lois Lowry,1993.0,0.0,16868,35
10919,1288,3,The Long Walk,"Richard Bachman, Stephen King",1979.0,0.5,4969,1276
20378,3452,2,"Princess in the Spotlight (The Princess Diaries, #2)",Meg Cabot,2001.0,0.25,9143,3224
44633,1866,2,The Vacationers,Emma Straub,2014.0,0.25,19130,1834
42441,3268,2,The Zookeeper's Wife,Diane Ackerman,2007.0,0.25,18218,3071
3596,3002,3,Sons and Lovers,"D.H. Lawrence, Geoff Dyer",1913.0,0.5,1657,2847
15818,6153,5,"I is for Innocent (Kinsey Millhone, #9)",Sue Grafton,1992.0,1.0,7150,5145
39304,5396,5,The Improbable Adventures of Sherlock Holmes,"John Joseph Adams, Robert J. Sawyer, Stephen King, Michael Moorcock, Sharyn McCrumb, Stephen Baxter, Anne Perry, Barbara Hambly, Tanith Lee, Neil Gaiman, Rob Rogers, Naomi Novik, Anthony Burgess, Dominic Green, Laurie R. King, Barbara Roden, Peter Tremayne, Tim Lebbon, Bradley H. Sinor, Edward D. Hoch, Vonda N. McIntyre, Darrell Schweitzer, Mary Robinette Kowal, H.Paul Jeffers, Geoffrey A. Landis, Amy Myers, Tony Pi, Chris Roberson, Mark Valentine",2007.0,1.0,16933,4666
13360,345,1,"Eldest (The Inheritance Cycle, #2)",Christopher Paolini,2005.0,0.0,6061,344
48905,8277,3,Say You're One of Them,Uwem Akpan,2008.0,0.5,20793,6304
48103,1569,3,The Gift of the Magi,"O. Henry, Lisbeth Zwerger",1905.0,0.5,20492,1551
30740,9243,4,A Little History of the World,"E.H. Gombrich, Caroline Mustill, Clifford Harper",1936.0,0.75,13478,6791
50609,97,4,Dracula,"Bram Stoker, Nina Auerbach, David J. Skal",1897.0,0.75,21447,96
10070,624,2,"All Together Dead (Sookie Stackhouse, #7)",Charlaine Harris,2007.0,0.25,4569,621
2959,442,2,Snow Crash,Neal Stephenson,1992.0,0.25,1379,441
46305,4391,3,Smashed: Story of a Drunken Girlhood,Koren Zailckas,2005.0,0.5,19777,3955
12073,1842,4,Perfect Match,Jodi Picoult,2002.0,0.75,5476,1811
39142,2257,5,Who's Afraid of Virginia Woolf?,Edward Albee,1962.0,1.0,16861,2199
44654,835,4,"Naruto, Vol. 01: The Tests of the Ninja (Naruto, #1)","Masashi Kishimoto, Katy Bridges",1999.0,0.75,19140,830
10647,5749,4,"Veil of Midnight (Midnight Breed, #5)",Lara Adrian,2008.0,0.75,4842,4894
38441,293,2,Treasure Island,Robert Louis Stevenson,1882.0,0.25,16596,292
19559,96,1,"Fifty Shades Freed (Fifty Shades, #3)",E.L. James,2012.0,0.0,8799,95
8044,1006,4,American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,"Chris Kyle, Scott McEwen, Jim DeFelice",2012.0,0.75,3641,999
16229,352,4,Yes Please,Amy Poehler,2014.0,0.75,7339,351
24800,251,5,The Cat in the Hat,Dr. Seuss,1957.0,1.0,11012,250
48086,6327,4,The Nine: Inside the Secret World of the Supreme Court,Jeffrey Toobin,2007.0,0.75,20485,5256
10318,11,1,The Kite Runner,Khaled Hosseini,2003.0,0.0,4690,10
36670,21,3,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)","J.K. Rowling, Mary GrandPré",2003.0,0.5,15856,20
11074,5699,2,El coronel no tiene quien le escriba,Gabriel García Márquez,1961.0,0.25,5043,4858
9331,1819,3,The Last Anniversary,Liane Moriarty,2006.0,0.5,4237,1790
34062,2280,2,Boy Meets Boy,David Levithan,2003.0,0.25,14781,2222
16751,2337,2,The New York Trilogy,"Paul Auster, Art Spiegelman",1987.0,0.25,7556,2272
52254,3796,4,"Tricks (Tricks, #1)",Ellen Hopkins,2009.0,0.75,22123,3511
46831,29,2,Romeo and Juliet,"William Shakespeare, Robert           Jackson",1595.0,0.25,20000,28
23290,6053,5,"Raven's Gate (The Gatekeepers, #1)",Anthony Horowitz,2005.0,1.0,10371,5092
33508,6004,1,"Providence (Providence, #1)",Jamie McGuire,2010.0,0.0,14557,5064
5505,264,3,The Sun Also Rises,Ernest Hemingway,1926.0,0.5,2530,263
31715,1053,2,"Song of Susannah (The Dark Tower, #6)","Stephen King, Darrel Anderson",2004.0,0.25,13847,1044
18360,72,5,The Shining (The Shining #1),Stephen King,1977.0,1.0,8268,71
40916,727,3,The Reader,"Bernhard Schlink, Carol Brown Janeway",1995.0,0.5,17635,723
11628,368,4,"The Subtle Knife (His Dark Materials, #2)",Philip Pullman,1997.0,0.75,5300,367
43105,42,1,"Little Women (Little Women, #1)",Louisa May Alcott,1868.0,0.0,18490,41
52622,5224,2,"Illusions (Wings, #3)",Aprilynne Pike,2011.0,0.25,22261,4555
37639,2456,3,Keeping the Moon,Sarah Dessen,1999.0,0.5,16260,2375
2561,2051,1,Geek Love,Katherine Dunn,1989.0,0.0,1198,2013
19070,2699,2,"Flat-Out Love (Flat-Out Love, #1)",Jessica Park,2011.0,0.25,8586,2585
14662,7429,4,Civil Disobedience and Other Essays,Henry David Thoreau,1995.0,0.75,6635,5874
13299,4016,1,Grendel,John Gardner,1970.0,0.0,6035,3682
20127,3259,5,The Painted Girls,Cathy Marie Buchanan,2012.0,1.0,9032,3063
4700,2284,2,The Inheritance of Loss,Kiran Desai,2006.0,0.25,2145,2226
38009,2664,3,Sweet Tooth,Ian McEwan,2012.0,0.5,16419,2554
31769,1361,5,The House at Riverton,Kate Morton,2006.0,1.0,13872,1348
8230,82,2,Into the Wild,Jon Krakauer,1996.0,0.25,3742,81
11519,184,5,Matilda,"Roald Dahl, Quentin Blake",1988.0,1.0,5250,183
40962,561,5,The Phantom Tollbooth,"Norton Juster, Jules Feiffer",1961.0,1.0,17650,560
25442,4154,1,"Book of Mormon, Doctrine and Covenants, Pearl of Great Price",The Church of Jesus Christ of Latter-day Saints,1950.0,0.0,11291,3785
37474,860,5,"The Bean Trees (Greer Family, #1)",Barbara Kingsolver,1988.0,1.0,16190,855
45903,215,1,Ready Player One,Ernest Cline,2011.0,0.0,19623,214
17458,3715,4,Nicholas Nickleby,"Charles Dickens, Mark Ford",1839.0,0.75,7871,3444
4134,1533,5,"The Tale of the Body Thief (The Vampire Chronicles, #4)",Anne Rice,1992.0,1.0,1883,1517
9330,107,3,A Walk to Remember,Nicholas Sparks,1999.0,0.5,4236,106
17810,292,4,"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)","C.S. Lewis, Pauline Baynes",1951.0,0.75,8020,291
20212,160,2,Great Expectations,Charles Dickens,1860.0,0.25,9080,159
6455,9540,2,In the Penal Colony,Franz Kafka,1919.0,0.25,2953,6918
9671,2362,4,"Friday Night Lights: A Town, a Team, and a Dream",H.G. Bissinger,1988.0,0.75,4382,2293
24120,492,4,"Speaker for the Dead (Ender's Saga, #2)",Orson Scott Card,1986.0,0.75,10729,491
21303,1622,1,A Connecticut Yankee in King Arthur's Court,Mark Twain,1889.0,0.0,9527,1601
37020,5764,4,"Valhalla Rising (Dirk Pitt, #16)",Clive Cussler,2001.0,0.75,15994,4906
39682,1812,2,"Magician: Master (The Riftwar Saga, #2)",Raymond E. Feist,1982.0,0.25,17087,1783
23071,780,3,Calvin and Hobbes,"Bill Watterson, G.B. Trudeau",1987.0,0.5,10282,776
42525,612,5,"The Drawing of the Three (The Dark Tower, #2)",Stephen King,1987.0,1.0,18247,609
40591,2014,2,"When the Bough Breaks (Alex Delaware, #1)",Jonathan Kellerman,1985.0,0.25,17493,1978
42630,2195,2,"Inkdeath (Inkworld, #3)",Cornelia Funke,2007.0,0.25,18288,2141
35669,51,3,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,2007.0,0.5,15448,50
26477,1008,5,"The Power of Six (Lorien Legacies, #2)",Pittacus Lore,2011.0,1.0,11720,1001
53204,3444,2,"The Thief (The Queen's Thief, #1)",Megan Whalen Turner,1996.0,0.25,22492,3217
2137,5086,3,The Lady Elizabeth,Alison Weir,2008.0,0.5,994,4461
51539,1669,3,"13 Little Blue Envelopes (Little Blue Envelope, #1)",Maureen Johnson,2005.0,0.5,21837,1647
2593,232,5,"The Gunslinger (The Dark Tower, #1)",Stephen King,1982.0,1.0,1213,231
45817,15,2,The Diary of a Young Girl,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947.0,0.25,19589,14
33874,2983,1,"These Broken Stars (Starbound, #1)","Amie Kaufman, Meagan Spooner",2013.0,0.0,14704,2829
49770,1801,3,"The Sword of Shannara (The Original Shannara Trilogy, #1)",Terry Brooks,1977.0,0.5,21139,1772
38474,16,4,"The Girl with the Dragon Tattoo (Millennium, #1)","Stieg Larsson, Reg Keeland",2005.0,0.75,16611,15
18530,1211,5,The Little Engine That Could,"Watty Piper, Doris Hauman, George Hauman",1930.0,1.0,8343,1200
52165,371,3,Stranger in a Strange Land,Robert A. Heinlein,1961.0,0.5,22082,370
24079,2582,4,Harry the Dirty Dog,"Gene Zion, Margaret Bloy Graham",1956.0,0.75,10710,2484
52197,40,4,"Eat, Pray, Love",Elizabeth Gilbert,2006.0,0.75,22098,39
922,320,3,"Where'd You Go, Bernadette",Maria Semple,2012.0,0.5,434,319
10505,1288,2,The Long Walk,"Richard Bachman, Stephen King",1979.0,0.25,4777,1276
27979,131,1,The Grapes of Wrath,John Steinbeck,1939.0,0.0,12345,130
9175,1001,4,The Dinner,"Herman Koch, Sam Garrett",2009.0,0.75,4172,994
18573,3,1,"Twilight (Twilight, #1)",Stephenie Meyer,2005.0,0.0,8364,2
12534,85,5,The Giving Tree,Shel Silverstein,1964.0,1.0,5678,84
39092,5313,2,A Simple Plan,Scott B. Smith,1993.0,0.25,16842,4614
14307,986,1,The Girl Who Loved Tom Gordon,Stephen King,1999.0,0.0,6477,980
16930,1858,4,"3rd Degree (Women's Murder Club, #3)","James Patterson, Andrew Gross",2004.0,0.75,7642,1826
31267,3637,5,"Thirst No. 1: The Last Vampire, Black Blood, and Red Dice (Thirst, #1)",Christopher Pike,1998.0,1.0,13673,3379
17139,188,4,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,2011.0,0.75,7730,187
17061,133,3,"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,1908.0,0.5,7698,132
20745,17,4,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,2009.0,0.75,9292,16
34466,5718,5,Beauty and the Beast,"Walt Disney Company, Ellen Titlebaum",2002.0,1.0,14950,4871
2783,522,3,Cloud Atlas,David Mitchell,2004.0,0.5,1297,521
